,cusip no,issuer name,price,shares,currency,market valuation,price USD
139,01864U 10 6,ALLIANCEBERNSTEIN NATL MUN I COM,134.07,13461,EUR,1804716.27,147.44
140,01879R 10 6,ALLIANCEBERNSTEIN GLOBAL HIG COM,96.69,10946,USD,1058368.74,96.69
141,18802 10 8,ALLIANT ENERGY CORP COM,86.13,7342,EUR,632366.46,94.72
142,19170 10 9,ALLIED GAMING & ENTRTNMNT IN COM,117.34,9452,EUR,1109097.68,129.04
143,19330 10 9,ALLIED MOTION TECHNOLOGIES I COM,12.8,13864,USD,177459.2,12.8
144,01973R 10 1,ALLISON TRANSMISSION HLDGS I COM,245.56,13342,USD,3276261.52,245.56
145,19770 10 6,ALLOGENE THERAPEUTICS COM,250.85,8079,EUR,2026617.15,275.87
146,19818 10 3,ALLOVIR INC COM,68.0,5172,EUR,351696.0,74.78
147,01988P 10 8,VERADIGM INC COM,196.68,871,EUR,171308.28,216.29
148,20002 10 1,ALLSTATE CORP COM,149.8,12970,USD,1942906.0000000002,149.8
149,02005N 10 0,ALLY FINL INC COM,121.68,5645,EUR,686883.6000000001,133.82
150,02043Q 10 7,ALNYLAM COM,50.5,4318,USD,218059.0,50.5
151,20764 10 6,ALPHA METALLURGICAL COM,229.71,10003,USD,2297789.13,229.71
152,20772 10 9,ALPHA PRO TECH LTD COM,329.31,13053,EUR,4298483.43,362.15
153,02083G 10 0,ALPINE IMMUNE SCIENCES COM,220.37,5301,USD,1168181.37,220.37
154,02083L 10 9,ALPINE COM,343.85,13662,USD,4697678.7,343.85
155,02083X 10 3,ALPINE COM,126.61,1086,EUR,137498.46,139.24
156,21513 10 6,ALTO INGREDIENTS INC COM,45.04,13669,USD,615651.76,45.04
157,02153X 10 8,ALTISOURCE ASSET MGMT CORP COM,181.17,12119,USD,2195599.23,181.17
158,02156U 10 1,ATERIAN INC COM,200.38,13204,USD,2645817.52,200.38
159,02208R 10 6,ALTRA INDL MOTION CORP COM,96.91,5614,USD,544052.74,96.91
160,02209S 10 3,ALTRIA GROUP INC COM,193.81,8533,EUR,1653780.73,213.14
161,22671 10 1,AMALGAMATED FINANCIAL CORP COM,81.49,7296,USD,594551.0399999999,81.49
162,23436 10 8,AMEDISYS INC COM,168.6,8724,USD,1470866.4,168.6
163,23586 10 0,U HAUL HOLDING COM,67.56,764,EUR,51615.840000000004,74.3
164,23608 10 2,AMEREN CORP COM,158.11,2647,EUR,418517.17000000004,173.88
165,02553E 10 6,AMERICAN EAGLE OUTFITTERS IN COM,11.28,9660,EUR,108964.79999999999,12.4
166,25537 10 1,AMERICAN ELEC PWR CO INC COM,185.65,13848,EUR,2570881.2,204.16
167,25676 20 6,AMERICAN EQTY INVT LIFE HLD COM,318.43,12853,USD,4092780.79,318.43
168,25816 10 9,AMERICAN EXPRESS CO COM,294.71,916,EUR,269954.36,324.1
169,25932 10 4,AMERICAN FINL GROUP INC OHIO COM,248.98,13191,EUR,3284295.1799999997,273.81
170,27745 10 8,AMERICAN NATL BANKSHARES INC COM,14.73,11453,EUR,168702.69,16.2
171,02875D 10 9,AMERICAN COM,349.9,562,USD,196643.8,349.9
172,02913V 10 3,AMERICAN COM,37.36,4748,EUR,177385.28,41.09
173,29174 10 9,AMERICAN RLTY INVS INC COM,12.48,4227,EUR,52752.96,13.72
174,02919L 20 8,AMERICAN REBEL HOLDINGS COM,184.13,7239,EUR,1332917.07,202.49
175,29595 10 5,AMERICAN SHARED HOSPITAL COM,347.8,2380,EUR,827764.0,382.49
176,29899 10 1,AMER STATES WTR CO COM,275.71,0,EUR,0.0,303.21
177,03027X 10 0,AMERICAN TOWER CORP NEW COM,258.27,5486,USD,1416869.22,258.27
178,30371 10 8,AMERICAN VANGUARD CORP COM,257.21,10996,EUR,2828281.1599999997,282.86
179,30420 10 3,AMERICAN COM,160.5,1089,EUR,174784.5,176.51
180,30506 10 9,AMERICAN WOODMARK CORPORATIO COM,48.97,1420,EUR,69537.4,53.85
181,03062D 10 0,AMERICAS GOLD AND SILVER COR COM,257.66,4070,USD,1048676.2000000002,257.66
182,03062T 10 5,AMERICAS CAR-MART INC COM,222.01,13891,EUR,3083940.9099999997,244.15
183,03064D 10 8,AMERICOLD REALTY TRUST INC COM,43.72,13218,EUR,577890.96,48.08
184,03071H 10 0,AMERISAFE INC COM,127.05,7834,EUR,995309.7,139.72
185,03073E 10 5,AMERISOURCEBERGEN CORP COM,214.89,5338,USD,1147082.8199999998,214.89
186,03074A 10 2,AMERISERV FINL INC COM,243.11,12776,USD,3105973.3600000003,243.11
187,03076C 10 6,AMERIPRISE FINL INC COM,125.6,7158,EUR,899044.7999999999,138.13
188,03076K 10 8,AMERIS BANCORP COM,29.81,5475,USD,163209.75,29.81
189,31001 10 0,AMES NATL CORP COM,184.68,4349,EUR,803173.3200000001,203.1
190,31094 10 5,AMESITE INC COM,114.25,6986,USD,798150.5,114.25
191,31100 10 0,AMETEK INC COM,335.86,5564,EUR,1868725.04,369.35
192,31162 10 0,AMGEN INC COM,190.81,8448,USD,1611962.8800000001,190.81
193,03152W 10 9,AMICUS THERAPEUTICS INC COM,188.1,8322,EUR,1565368.2,206.86
194,31652 10 0,AMKOR TECHNOLOGY INC COM,131.48,12064,EUR,1586174.72,144.59
195,32037 10 3,AMPCO-PITTSBURG CORP COM,220.47,10144,EUR,2236447.68,242.46
196,03209R 10 3,AMPHASTAR PHARMACEUTICALS COM,310.85,4266,USD,1326086.1,310.85
197,03464Y 10 8,ANGEL COM,48.82,14294,USD,697833.08,48.82
198,03475V 10 1,ANGIODYNAMICS COM,69.68,14280,USD,995030.4000000001,69.68
199,03476J 10 7,ANGION BIOMEDICA CORP COM,40.89,6631,EUR,271141.59,44.97
200,35255 10 8,ANIKA THERAPEUTICS INC COM,3.53,5224,EUR,18440.719999999998,3.88
201,03528H 10 9,ANIXA BIOSCIENCES INC COM,287.49,9863,USD,2835513.87,287.49
202,03589W 10 2,ANNEXON INC COM,338.57,5314,EUR,1799160.98,372.34
203,03615A 10 8,ANNOVIS BIO INC COM,314.56,7435,USD,2338753.6,314.56
204,03662Q 10 5,ANSYS INC COM,13.72,5319,EUR,72976.68000000001,15.09
205,03674X 10 6,ANTERO RESOURCES CORP COM,311.79,7401,USD,2307557.79,311.79
206,36752 10 3,ELEVANCE HEALTH INC COM,168.56,7511,USD,1266054.16,168.56
207,03676B 10 2,ANTERO MIDSTREAM CORP COM,295.37,9902,EUR,2924753.74,324.83
208,03676C 10 0,ANTERIX INC COM,66.49,7153,EUR,475602.97,73.12
209,03743Q 10 8,APA CORPORATION COM,341.68,8852,EUR,3024551.36,375.76
210,03750L 10 9,APARTMENT INCOME REIT CORP COM,321.66,12773,EUR,4108563.18,353.74
211,03753U 10 6,APELLIS PHARMACEUTICALS INC COM,68.69,13315,EUR,914607.35,75.54
212,37598 10 9,APOGEE ENTERPRISES INC COM,308.86,12377,EUR,3822760.22,339.66
213,03762U 10 5,APOLLO COML REAL EST FIN INC COM,13.31,14938,USD,198824.78,13.31
214,37636 10 7,APOLLO SR FLOATING RATE FD I COM,118.2,8629,USD,1019947.8,118.2
215,37638 10 3,APOLLO TACTICAL INCOME FD IN COM,214.65,5666,USD,1216206.9000000001,214.65
216,03767D 10 8,APOLLO ENDOSURGERY INC COM,119.73,10331,USD,1236930.6300000001,119.73
217,03769M 10 6,APOLLO GLOBAL MGMT INC COM,153.25,7943,USD,1217264.75,153.25
218,03783T 10 3,APPHARVEST INC COM,281.8,8129,USD,2290752.2,281.8
219,37833 10 0,APPLE INC COM,200.83,2940,EUR,590440.2000000001,220.86
220,03815U 30 0,APPLIED DNA SCIENCES INC COM,207.66,11271,EUR,2340535.86,228.37
221,03820C 10 5,APPLIED COM,142.18,6349,EUR,902700.8200000001,156.36
222,38222 10 5,APPLIED COM,230.97,8639,USD,1995349.83,230.97
223,03823U 10 2,APPLIED COM,117.74,14430,EUR,1698988.2,129.48
224,03824M 10 9,APPLIED COM,9.24,14493,USD,133915.32,9.24
225,03828A 10 1,APPLIED COM,75.73,6330,EUR,479370.9,83.28
226,03828V 10 5,APPLIED COM,180.52,8494,EUR,1533336.8800000001,198.52
227,38336 10 3,APTARGROUP COM,239.0,1385,EUR,331015.0,262.84
228,03879J 10 0,ARBUTUS BIOPHARMA CORP COM,321.27,14477,USD,4651025.79,321.27
229,03890D 10 8,ARAVIVE INC COM,301.93,12592,USD,3801902.56,301.93
230,38923 10 8,ARBOR REALTY TRUST INC COM,310.98,3766,USD,1171150.6800000002,310.98
231,39014 30 3,ARCADIA BIOSCIENCES INC COM,238.84,6918,USD,1652295.12,238.84
232,03937C 10 5,ARCBEST CORP COM,121.44,1315,EUR,159693.6,133.55
233,39483 10 2,ARCHER DANIELS MIDLAND CO COM,235.66,13630,USD,3212045.8,235.66
234,03957W 10 6,ARCHROCK INC COM,8.34,7830,USD,65302.2,8.34
235,39653 10 0,ARCOSA INC COM,95.91,13464,USD,1291332.24,95.91
236,03966V 10 7,ARCONIC CORPORATION COM,256.91,1104,USD,283628.64,256.91
237,03969F 10 9,ARCUS BIOSCIENCES INC COM,316.97,11110,EUR,3521536.7,348.58
238,03969K 10 8,ARCUTIS BIOTHERAPEUTICS INC COM,134.42,13396,EUR,1800690.3199999998,147.83
239,03969T 10 9,ARCTURUS THERAPEUTICS HLDGS COM,68.46,10493,USD,718350.7799999999,68.46
240,39697 10 7,ARDELYX INC COM,179.91,10028,EUR,1804137.48,197.85
241,40044 10 9,THE ARENA GROUP HOLDINGS INC COM,258.58,13110,EUR,3389983.8,284.37
242,04010E 10 9,ARGAN INC COM,3.02,11582,USD,34977.64,3.02
243,04010L 10 3,ARES CAPITAL CORP COM,223.72,5090,EUR,1138734.8,246.03
244,04013V 10 8,ARES COML REAL ESTATE CORP COM,149.58,9773,EUR,1461845.34,164.5
245,04014F 10 2,ARES DYNAMIC CR ALLOCATION COM,249.98,4303,EUR,1075663.94,274.91
246,40334 10 4,ARIDIS PHARMACEUTICALS INC COM,182.95,10849,EUR,1984824.5499999998,201.2
247,40413 10 6,ARISTA NETWORKS INC COM,194.51,6117,EUR,1189817.67,213.91
248,40712 10 1,ARK RESTAURANTS CORP COM,198.14,12354,USD,2447821.56,198.14
249,41242 10 8,ARKO CORP COM,38.26,8721,EUR,333665.45999999996,42.08
250,04206A 10 1,ARLO TECHNOLOGIES INC COM,335.51,4837,EUR,1622861.8699999999,368.97
251,04208T 10 8,ARMADA HOFFLER PPTYS INC COM,323.32,8051,USD,2603049.32,323.32
252,04208V 10 3,ARMADA ACQUISITION CORP I COM,20.13,4902,EUR,98677.26,22.14
253,04216R 10 2,ARMATA PHARMACEUTICALS INC COM,40.71,14873,USD,605479.83,40.71
254,04247X 10 2,ARMSTRONG WORLD INDS INC NEW COM,256.65,6348,USD,1629214.2,256.65
255,42735 10 0,ARROW ELECTRS INC COM,200.5,6467,USD,1296633.5,200.5
256,42744 10 2,ARROW FINL CORP COM,251.63,11066,EUR,2784537.58,276.72
257,04280A 10 0,ARROWHEAD PHARMACEUTICALS IN COM,293.92,6755,USD,1985429.6,293.92
258,04300J 10 7,ARTARA THERAPEUTICS INC COM,342.79,4490,EUR,1539127.1,376.98
259,04335A 10 5,ARVINAS INC COM,243.25,2491,USD,605935.75,243.25
260,43436 10 4,ASBURY AUTOMOTIVE GROUP INC COM,196.68,5967,EUR,1173589.56,216.29
261,04367G 10 3,ASENSUS SURGICAL INC COM,57.3,8330,USD,477309.0,57.3
262,44104 10 7,ASHFORD INC COM,72.57,12277,EUR,890941.8899999999,79.81
263,44186 10 4,ASHLAND INC COM,207.61,4146,EUR,860751.06,228.31
264,04523Y 10 5,ASPEN AEROGELS INC COM,78.99,5133,USD,405455.67,78.99
265,04638F 10 8,ASTRONOVA INC COM,129.34,7227,USD,934740.18,129.34
266,46433 10 8,ASTRONICS CORP COM,187.05,10900,EUR,2038845.0000000002,205.7
267,46484 30 9,ASTROTECH CORP COM,51.14,11322,USD,579007.08,51.14
268,04649U 10 2,ASURE SOFTWARE INC COM,73.76,10783,USD,795354.0800000001,73.76
269,46513 10 7,ATARA BIOTHERAPEUTICS COM,284.98,5629,EUR,1604152.4200000002,313.4
270,04683R 10 6,ATEA PHARMACEUTICALS COM,346.41,6001,EUR,2078806.4100000001,380.96
271,04685N 10 3,ATHENEX COM,107.47,6745,USD,724885.15,107.47
272,49560 10 5,ATMOS ENERGY CORP COM,72.37,13061,USD,945224.5700000001,72.37
273,04962H 50 6,ATOSSA THERAPEUTICS INC COM,305.86,1922,USD,587862.92,305.86
274,04963C 20 9,ATRICURE INC COM,110.8,2694,USD,298495.2,110.8
275,04965B 10 0,ATOMERA INC COM,198.67,9687,EUR,1924516.2899999998,218.48
276,49904 10 5,ATRION CORP COM,60.8,7401,USD,449980.8,60.8
277,50473 10 7,AUBURN NATL BANCORP COM,58.56,10815,EUR,633326.4,64.4
278,05072K 10 7,AUDDIA INC COM,296.59,12405,USD,3679198.9499999997,296.59
279,05105P 10 7,AUGMEDIX INC COM,46.22,6607,EUR,305375.54,50.83
280,05150A 10 4,AULT DISRUPTIVE TECHS CORP COM,70.13,14944,EUR,1048022.72,77.12
281,05153U 10 7,AURA BIOSCIENCES INC COM,101.34,10996,EUR,1114334.6400000001,111.45
282,05379B 10 7,AVISTA CORP COM,130.29,1391,USD,181233.38999999998,130.29
283,05380C 10 2,AVITA MEDICAL INC COM,73.41,6137,EUR,450517.17,80.73
284,53807 10 3,AVNET INC COM,228.84,4766,EUR,1090651.44,251.66
285,53906 10 3,AVINO SILVER & GOLD MINES COM,9.62,3292,EUR,31669.039999999997,10.58
286,05453N 10 0,AWARE INC MASS COM,47.83,2168,EUR,103695.44,52.6
287,05454B 10 5,AXCELLA HEALTH INC COM,269.38,1004,USD,270457.52,269.38
288,05455M 10 0,AVROBIO INC COM,58.94,7699,EUR,453779.06,64.82
289,05463X 10 6,AXOGEN INC COM,279.6,4549,USD,1271900.4000000001,279.6
290,05464C 10 1,AXON ENTERPRISE INC COM,319.29,7321,USD,2337522.0900000003,319.29
291,05464T 10 4,AXSOME THERAPEUTICS INC COM,146.84,11183,EUR,1642111.72,161.48
292,05465C 10 0,AXOS FINANCIAL INC COM,25.19,7693,EUR,193786.67,27.7
293,05550J 10 1,BJS WHSL CLUB HLDGS INC COM,331.07,10506,USD,3478221.42,331.07
294,55645 30 3,BRT APARTMENTS CORP COM,47.83,11439,USD,547127.37,47.83
